seconds,version,cpu
0.0,v1,2.0
0.0,v2,2.0
0.581,v1,2.0
0.584,v2,2.0
1.157,v2,2.0
1.158,v1,0.6666666666666667
1.732,v1,0.6666666666666667
1.733,v2,1.3333333333333335
2.305,v2,2.666666666666667
2.318,v1,2.0
2.878,v2,2.0
2.892,v1,1.3333333333333335
3.454,v2,2.666666666666667
3.467,v1,2.0
4.029,v2,0.6666666666666667
4.046,v1,2.0
4.601,v2,2.666666666666667
4.621,v1,1.3333333333333335
5.175,v2,1.3333333333333335
5.194,v1,0.6666666666666667
5.745,v2,1.3333333333333335
5.771,v1,2.0
6.32,v2,0.6666666666666667
6.345,v1,2.0
6.894,v2,2.666666666666667
6.922,v1,2.0
7.468,v2,0.6666666666666667
7.498,v1,1.3333333333333335
8.043,v2,2.0
8.072,v1,2.666666666666667
8.619,v2,2.0
8.651,v1,2.666666666666667
9.195,v2,1.3333333333333335
9.224,v1,1.3333333333333335
9.777,v2,1.3333333333333335
9.797,v1,1.3333333333333335
10.353,v2,0.6666666666666667
10.376,v1,1.3333333333333335
10.928,v2,1.3333333333333335
10.951,v1,2.0
11.502,v2,2.0
11.524,v1,2.0
12.075,v2,1.3333333333333335
12.103,v1,2.0
12.65,v2,2.666666666666667
12.678,v1,1.3333333333333335
13.224,v2,1.3333333333333335
13.254,v1,1.3333333333333335
13.799,v2,0.6666666666666667
13.829,v1,2.0
14.374,v2,1.3333333333333335
14.404,v1,1.3333333333333335
14.947,v2,1.3333333333333335
14.983,v1,1.3333333333333335
15.521,v2,2.0
15.559,v1,0.6666666666666667
16.093,v2,1.3333333333333335
16.132,v1,1.3333333333333335
16.666,v2,1.3333333333333335
16.71,v1,1.3333333333333335
17.24,v2,2.0
17.284,v1,2.0
17.814,v2,1.3333333333333335
17.862,v1,2.0
18.386,v2,1.3333333333333335
18.436,v1,0.6666666666666667
18.964,v2,2.666666666666667
19.01,v1,1.3333333333333335
19.537,v2,2.0
19.587,v1,2.666666666666667
20.116,v2,1.3333333333333335
20.162,v1,1.3333333333333335
20.69,v2,1.3333333333333335
20.736,v1,2.0
21.265,v2,2.0
21.315,v1,2.0
21.839,v2,0.6666666666666667
21.89,v1,2.0
22.412,v2,2.0
22.475,v1,2.0
22.985,v2,2.666666666666667
23.051,v1,2.0
23.562,v2,2.0
23.628,v1,0.6666666666666667
24.139,v2,1.3333333333333335
24.208,v1,2.0
24.711,v2,1.3333333333333335
24.783,v1,1.3333333333333335
25.289,v2,1.3333333333333335
25.36,v1,2.0
25.861,v2,2.0
25.938,v1,1.3333333333333335
26.436,v2,2.0
26.513,v1,1.3333333333333335
27.009,v2,1.3333333333333335
27.091,v1,1.3333333333333335
27.583,v2,2.0
27.67,v1,2.0
28.159,v2,1.3333333333333335
28.247,v1,2.666666666666667
28.733,v2,0.6666666666666667
28.826,v1,2.0
29.306,v2,2.0
29.399,v1,1.3333333333333335
29.882,v2,1.3333333333333335
29.974,v1,2.0
30.455,v2,1.3333333333333335
30.552,v1,0.6666666666666667
31.033,v2,1.3333333333333335
31.127,v1,1.3333333333333335
31.608,v2,0.6666666666666667
31.703,v1,2.0
32.181,v2,1.3333333333333335
32.28,v1,2.0
32.757,v2,1.3333333333333335
32.855,v1,1.3333333333333335
33.33,v2,0.6666666666666667
33.433,v1,2.0
33.904,v2,1.3333333333333335
34.006,v1,1.3333333333333335
34.479,v2,1.3333333333333335
34.581,v1,0.6666666666666667
35.052,v2,2.0
35.159,v1,0.6666666666666667
35.625,v2,2.0
35.734,v1,0.6666666666666667
36.202,v2,2.0
36.308,v1,1.3333333333333335
36.776,v2,0.6666666666666667
36.886,v1,0.6666666666666667
37.352,v2,2.0
37.461,v1,2.666666666666667
37.928,v2,1.3333333333333335
38.04,v1,2.666666666666667
38.503,v2,0.6666666666666667
38.615,v1,1.3333333333333335
39.078,v2,2.0
39.188,v1,1.3333333333333335
39.654,v2,2.0
39.767,v1,2.0
40.228,v2,2.0
40.341,v1,0.6666666666666667
40.802,v2,0.6666666666666667
40.915,v1,1.3333333333333335
41.377,v2,1.3333333333333335
41.493,v1,1.3333333333333335
41.952,v2,2.0
42.068,v1,1.3333333333333335
42.527,v2,2.0
42.653,v1,2.0
43.099,v2,0.6666666666666667
43.229,v1,2.0
43.675,v2,2.666666666666667
43.803,v1,2.0
44.249,v2,0.6666666666666667
44.381,v1,1.3333333333333335
44.822,v2,2.666666666666667
44.956,v1,0.6666666666666667
45.398,v2,2.0
45.53,v1,2.0
45.969,v2,1.3333333333333335
46.108,v1,2.666666666666667
46.547,v2,1.3333333333333335
46.682,v1,2.0
47.121,v2,1.3333333333333335
47.262,v1,2.0
47.693,v2,2.666666666666667
47.84,v1,1.3333333333333335
48.268,v2,1.3333333333333335
48.414,v1,2.666666666666667
48.84,v2,1.3333333333333335
48.992,v1,2.666666666666667
49.415,v2,1.3333333333333335
49.567,v1,0.6666666666666667
49.99,v2,2.0
50.141,v1,1.3333333333333335
50.563,v2,2.0
50.72,v1,1.3333333333333335
51.135,v2,1.3333333333333335
51.294,v1,1.3333333333333335
51.712,v2,1.3333333333333335
51.867,v1,0.6666666666666667
52.284,v2,2.0
52.446,v1,1.3333333333333335
52.858,v2,0.6666666666666667
53.021,v1,1.3333333333333335
53.432,v2,1.3333333333333335
53.599,v1,1.3333333333333335
54.004,v2,2.0
54.174,v1,1.3333333333333335
54.578,v2,1.3333333333333335
54.748,v1,2.0
55.151,v2,2.666666666666667
55.327,v1,1.3333333333333335
55.723,v2,1.3333333333333335
55.904,v1,2.0
56.3,v2,2.0
56.478,v1,2.0
56.872,v2,2.0
57.056,v1,2.0
57.45,v2,0.6666666666666667
57.633,v1,1.3333333333333335
58.022,v2,2.0
58.213,v1,1.3333333333333335
58.595,v2,2.0
58.789,v1,1.3333333333333335
59.17,v2,2.0
59.364,v1,2.0
59.742,v2,2.666666666666667
59.942,v1,2.0
60.316,v2,1.3333333333333335
60.517,v1,2.0
60.89,v2,1.3333333333333335
61.091,v1,1.3333333333333335
61.462,v2,2.0
61.671,v1,2.666666666666667
62.034,v2,2.0
62.248,v1,2.666666666666667
62.609,v2,2.0
62.836,v1,2.0
63.181,v2,1.3333333333333335
63.41,v1,2.0
63.757,v2,2.0
63.984,v1,2.0
64.33,v2,1.3333333333333335
64.562,v1,2.0
64.902,v2,0.6666666666666667
65.136,v1,2.0
65.476,v2,1.3333333333333335
65.71,v1,2.0
66.05,v2,1.3333333333333335
66.288,v1,1.3333333333333335
66.623,v2,2.0
66.862,v1,1.3333333333333335
67.198,v2,2.666666666666667
67.44,v1,1.3333333333333335
67.772,v2,2.0
68.017,v1,2.0
68.348,v2,1.3333333333333335
68.591,v1,1.3333333333333335
68.922,v2,2.0
69.17,v1,2.0
69.495,v2,1.3333333333333335
69.745,v1,1.3333333333333335
70.07,v2,2.0
70.319,v1,2.0
70.643,v2,1.3333333333333335
70.899,v1,2.0
71.217,v2,2.0
71.473,v1,2.666666666666667
71.792,v2,0.6666666666666667
72.046,v1,2.0
72.369,v2,2.0
72.625,v1,2.0
72.943,v2,1.3333333333333335
73.199,v1,1.3333333333333335
73.52,v2,1.3333333333333335
73.776,v1,2.0
74.093,v2,0.6666666666666667
74.35,v1,2.0
74.667,v2,1.3333333333333335
74.924,v1,2.0
75.241,v2,1.3333333333333335
75.499,v1,2.0
75.814,v2,2.666666666666667
76.073,v1,1.3333333333333335
76.391,v2,2.0
76.648,v1,2.666666666666667
76.964,v2,1.3333333333333335
77.227,v1,2.666666666666667
77.539,v2,2.0
77.801,v1,2.0
78.109,v2,1.3333333333333335
78.382,v1,2.0
78.684,v2,1.3333333333333335
78.958,v1,2.0
79.26,v2,2.0
79.532,v1,1.3333333333333335
79.833,v2,0.6666666666666667
80.109,v1,1.3333333333333335
80.408,v2,1.3333333333333335
80.685,v1,3.3333333333333335
80.979,v2,2.666666666666667
81.259,v1,2.0
81.551,v2,2.0
81.839,v1,0.6666666666666667
82.124,v2,2.0
82.412,v1,1.3333333333333335
82.699,v2,2.0
82.999,v1,1.3333333333333335
83.272,v2,2.666666666666667
83.575,v1,1.3333333333333335
83.853,v2,2.0
84.149,v1,2.666666666666667
84.428,v2,1.3333333333333335
84.727,v1,0.6666666666666667
85.001,v2,1.3333333333333335
85.301,v1,1.3333333333333335
85.575,v2,2.0
85.875,v1,2.0
86.148,v2,1.3333333333333335
86.453,v1,2.666666666666667
86.724,v2,2.666666666666667
87.031,v1,2.0
87.299,v2,2.0
87.607,v1,1.3333333333333335
87.871,v2,2.666666666666667
88.186,v1,2.0
88.446,v2,1.3333333333333335
88.76,v1,2.0
89.021,v2,2.0
89.337,v1,2.666666666666667
89.596,v2,2.0
89.912,v1,2.0
90.171,v2,1.3333333333333335
90.487,v1,2.666666666666667
90.746,v2,1.3333333333333335
91.067,v1,1.3333333333333335
91.319,v2,2.0
91.643,v1,1.3333333333333335
91.894,v2,1.3333333333333335
92.217,v1,2.0
92.467,v2,2.0
92.795,v1,2.0
93.042,v2,2.0
93.369,v1,2.0
93.616,v2,2.0
93.947,v1,2.0
94.19,v2,1.3333333333333335
94.524,v1,2.0
94.767,v2,0.6666666666666667
95.099,v1,2.0
95.341,v2,2.0
95.677,v1,2.0
95.913,v2,3.3333333333333335
96.252,v1,1.3333333333333335
96.49,v2,0.6666666666666667
96.825,v1,1.3333333333333335
97.065,v2,1.3333333333333335
97.408,v1,2.0
97.637,v2,2.666666666666667
97.981,v1,1.3333333333333335
98.215,v2,1.3333333333333335
98.561,v1,0.6666666666666667
98.787,v2,0.6666666666666667
99.136,v1,1.3333333333333335
99.359,v2,2.666666666666667
99.71,v1,1.3333333333333335
99.936,v2,2.0
100.288,v1,1.3333333333333335
100.508,v2,2.666666666666667
100.863,v1,2.0
101.083,v2,2.0
101.436,v1,1.3333333333333335
101.656,v2,2.0
102.015,v1,1.3333333333333335
102.23,v2,1.3333333333333335
102.591,v1,3.3333333333333335
102.804,v2,2.0
103.178,v1,0.6666666666666667
103.378,v2,0.0
103.754,v1,3.3333333333333335
103.953,v2,1.3333333333333335
104.328,v1,2.0
104.531,v2,1.3333333333333335
104.906,v1,2.0
105.105,v2,1.3333333333333335
105.481,v1,2.0
105.681,v2,2.0
106.056,v1,2.0
106.257,v2,2.666666666666667
106.635,v1,2.0
106.831,v2,1.3333333333333335
107.209,v1,1.3333333333333335
107.407,v2,1.3333333333333335
107.784,v1,2.0
107.982,v2,1.3333333333333335
108.361,v1,2.666666666666667
108.556,v2,1.3333333333333335
108.936,v1,2.0
109.13,v2,2.0
109.514,v1,2.0
109.707,v2,2.666666666666667
110.089,v1,2.0
110.284,v2,2.666666666666667
110.665,v1,1.3333333333333335
110.859,v2,1.3333333333333335
111.242,v1,2.0
111.434,v2,1.3333333333333335
111.816,v1,2.666666666666667
112.01,v2,2.0
112.389,v1,2.666666666666667
112.585,v2,1.3333333333333335
112.968,v1,1.3333333333333335
113.16,v2,1.3333333333333335
113.542,v1,0.6666666666666667
113.735,v2,1.3333333333333335
114.12,v1,2.0
114.309,v2,2.0
114.695,v1,1.3333333333333335
114.884,v2,2.0
115.269,v1,2.0
115.46,v2,2.0
115.845,v1,0.6666666666666667
116.033,v2,2.0
116.42,v1,2.0
116.609,v2,1.3333333333333335
116.995,v1,2.0
117.183,v2,0.6666666666666667
117.574,v1,1.3333333333333335
117.759,v2,2.0
118.148,v1,0.6666666666666667
118.334,v2,0.6666666666666667
118.73,v1,1.3333333333333335
118.909,v2,2.0
119.306,v1,2.0
119.481,v2,2.0
119.879,v1,2.0
120.055,v2,1.3333333333333335
