size,read_files,hmm_scan,hmm_align,distance_calc,cc_gen
10,0.051,0.0,0.644,0.305,0.0
25,0.039,0.363,0.353,0.235,0.01
50,0.048,0.545,0.169,0.233,0.005
75,0.051,0.578,0.153,0.215,0.004
100,0.046,0.647,0.111,0.193,0.003
250,0.052,0.672,0.046,0.222,0.009
500,0.051,0.672,0.029,0.232,0.016
750,0.048,0.678,0.02,0.235,0.019
1000,0.045,0.669,0.018,0.244,0.024
2500,0.045,0.666,0.013,0.232,0.044
5000,0.041,0.631,0.011,0.245,0.072
10000,0.044,0.588,0.019,0.23,0.12
25000,0.035,0.462,0.031,0.234,0.239
