version,seconds,cpu,processes,mem_used_mb,memused_percent
v1,87.274,0.3,1,277.99,0.02
v1,87.852,0.16,1,277.99,0.02
v1,88.438,0.2,1,277.99,0.02
v1,89.011,0.36,1,277.99,0.02
v1,89.586,0.38,1,277.99,0.02
v1,90.163,0.46,1,277.99,0.02
v1,90.739,0.38,1,277.99,0.02
v1,91.314,0.42,1,277.99,0.02
v1,91.894,0.44,1,277.99,0.02
v1,92.471,0.38,1,277.99,0.02
v1,93.05,0.38,1,277.99,0.02
v1,93.628,0.3,1,277.99,0.02
v1,94.205,0.36,1,277.99,0.02
v1,94.786,0.44,1,278.77,0.02
v1,95.365,0.4,1,278.77,0.02
v1,95.94,0.3,1,278.77,0.02
v1,96.521,0.36,1,279.31,0.02
v1,97.097,0.46,1,279.31,0.02
v1,97.673,0.18,1,279.31,0.02
v1,98.252,0.2,1,280.12,0.02
v1,98.829,0.34,1,280.12,0.02
v1,99.409,0.4,1,280.12,0.02
v1,99.985,0.34,1,280.12,0.02
v1,100.562,0.5,1,280.12,0.02
v1,101.144,0.36,1,280.12,0.02
v1,101.721,0.34,1,280.12,0.02
v1,102.297,0.4,1,280.14,0.02
v1,102.875,0.36,1,280.14,0.02
v1,103.45,0.3,1,280.14,0.02
v1,104.04,0.38,1,280.14,0.02
v1,104.615,0.46,1,280.14,0.02
v1,105.191,0.42,1,280.14,0.02
v1,105.77,0.4,1,280.14,0.02
v1,106.348,0.4,1,280.14,0.02
v1,106.923,0.44,1,280.14,0.02
v1,107.504,0.12,1,280.14,0.02
v1,108.079,0.26,1,280.14,0.02
v1,108.658,0.4,1,280.57,0.02
v1,109.237,0.42,1,280.57,0.02
v1,109.813,0.32,1,280.57,0.02
v1,110.391,0.34,1,280.57,0.02
v1,110.967,0.44,1,280.57,0.02
v1,111.551,0.42,1,280.57,0.02
v1,112.131,0.38,1,280.57,0.02
v1,112.71,0.42,1,280.57,0.02
v1,113.285,0.38,1,280.57,0.02
v1,113.867,0.3,1,280.57,0.02
v1,114.442,0.38,1,280.57,0.02
v1,115.023,0.46,1,280.57,0.02
v1,115.599,0.4,1,280.57,0.02
v1,116.176,0.36,1,280.57,0.02
v1,116.754,0.4,1,280.57,0.02
v1,117.33,0.36,1,280.57,0.02
v1,117.913,0.24,1,280.57,0.02
v1,118.493,0.38,1,280.57,0.02
v1,119.069,0.4,1,280.83,0.02
v1,119.66,0.48,1,280.83,0.02
v1,120.243,0.42,1,280.83,0.02
v1,120.817,0.44,1,280.83,0.02
v1,121.397,0.4,1,280.83,0.02
v1,121.972,0.38,1,280.83,0.02
v1,122.549,0.34,1,280.83,0.02
v1,123.127,0.48,1,280.83,0.02
v1,123.705,0.28,1,280.83,0.02
v1,124.289,0.42,1,280.83,0.02
v1,124.871,0.44,1,280.83,0.02
v1,125.448,0.42,1,280.83,0.02
v1,126.027,0.42,1,280.83,0.02
v1,126.606,0.36,1,280.83,0.02
v1,127.182,0.4,1,280.83,0.02
v1,127.766,0.2,1,280.83,0.02
v1,128.341,0.3,1,280.83,0.02
v1,128.919,0.42,1,280.83,0.02
v1,129.501,0.26,1,280.83,0.02
v1,130.076,0.4,1,280.83,0.02
v1,130.659,0.38,1,280.83,0.02
v1,131.236,0.38,1,280.83,0.02
v1,131.811,0.44,1,280.83,0.02
v1,132.393,0.44,1,280.83,0.02
v1,132.969,0.4,1,281.55,0.02
v1,133.547,0.38,1,281.55,0.02
v1,134.125,0.36,1,281.55,0.02
v1,134.702,0.38,1,281.55,0.02
v1,135.286,0.36,1,281.55,0.02
v1,135.863,0.3,1,281.55,0.02
v1,136.439,0.34,1,281.55,0.02
v1,137.019,0.32,1,281.55,0.02
v1,137.596,0.32,1,281.55,0.02
v1,138.179,0.24,1,281.55,0.02
v1,138.759,0.4,1,281.55,0.02
v1,139.336,0.34,1,281.55,0.02
v1,139.929,0.28,1,281.55,0.02
v1,140.507,0.38,1,281.55,0.02
v1,141.083,0.4,1,281.55,0.02
v1,141.662,0.4,1,282.39,0.02
v1,142.239,0.38,1,282.39,0.02
v1,142.814,0.46,1,282.39,0.02
v1,143.395,0.4,1,282.39,0.02
v1,143.971,0.3,1,282.39,0.02
v1,144.549,0.4,1,282.39,0.02
v1,145.129,0.44,1,282.39,0.02
v1,145.713,0.44,1,282.53,0.02
v1,146.294,0.32,1,282.53,0.02
v1,146.871,0.34,1,282.53,0.02
v1,147.447,0.3,1,282.53,0.02
v1,148.026,0.22,1,282.53,0.02
v1,148.603,0.38,1,282.53,0.02
v1,149.178,0.38,1,282.53,0.02
v1,149.76,0.4,1,282.53,0.02
v1,150.338,0.4,1,282.53,0.02
v1,150.918,0.36,1,282.53,0.02
v1,151.496,0.4,1,282.53,0.02
v1,152.078,0.38,1,282.53,0.02
v1,152.659,0.5,1,283.66,0.02
v1,153.235,0.42,1,283.66,0.02
v1,153.813,0.36,1,283.66,0.02
v1,154.392,0.44,1,283.66,0.02
v1,154.969,0.36,1,283.66,0.02
v1,155.557,0.46,1,283.66,0.02
v1,156.135,0.42,1,283.66,0.02
v1,156.71,0.32,1,283.66,0.02
v1,157.29,0.34,1,283.66,0.02
v1,157.865,0.26,1,283.66,0.02
v1,158.446,0.42,1,283.66,0.02
v1,159.027,0.36,1,283.66,0.02
v1,159.604,0.4,1,283.66,0.02
v1,160.19,0.34,1,283.66,0.02
v1,160.768,0.44,1,283.66,0.02
v1,161.344,0.32,1,283.66,0.02
v1,161.924,0.42,1,283.66,0.02
v1,162.499,0.4,1,283.66,0.02
v1,163.074,0.38,1,283.66,0.02
v1,163.654,0.4,1,283.66,0.02
v1,164.23,0.38,1,283.66,0.02
v1,164.806,0.46,1,283.66,0.02
v1,165.385,0.46,1,283.66,0.02
v1,165.962,0.44,1,283.66,0.02
v1,166.546,0.36,1,283.66,0.02
v1,167.123,0.34,1,283.66,0.02
v1,167.699,0.22,1,283.66,0.02
v1,168.277,0.34,1,283.66,0.02
v1,168.854,0.48,1,283.66,0.02
v1,169.429,0.48,1,283.66,0.02
v1,170.009,0.46,1,283.66,0.02
v1,170.584,0.38,1,283.66,0.02
v1,171.17,0.42,1,283.66,0.02
v1,171.746,0.42,1,283.66,0.02
v1,172.324,0.5,1,283.66,0.02
v1,172.904,0.46,1,283.66,0.02
v1,173.485,0.34,1,283.66,0.02
v1,174.063,0.36,1,283.66,0.02
v1,174.645,0.32,1,283.66,0.02
v1,175.223,0.3,1,283.66,0.02
v1,175.814,0.32,1,283.66,0.02
v1,176.393,0.38,1,283.66,0.02
v1,176.969,0.32,1,283.66,0.02
v1,177.549,0.26,1,283.66,0.02
v1,178.124,0.22,1,283.66,0.02
v1,178.7,0.38,1,283.66,0.02
v1,179.281,0.36,1,283.66,0.02
v1,179.856,0.38,1,283.66,0.02
v1,180.434,0.4,1,283.66,0.02
v1,181.013,0.34,1,283.66,0.02
v1,181.59,0.36,1,283.66,0.02
v1,182.169,0.44,1,283.66,0.02
v1,182.745,0.38,1,283.66,0.02
v1,183.323,0.42,1,283.66,0.02
v1,183.902,0.44,1,283.66,0.02
v1,184.481,0.38,1,283.66,0.02
v1,185.057,0.38,1,283.66,0.02
v1,185.638,0.5,1,283.92,0.02
v1,186.22,0.42,1,284.19,0.02
v1,186.802,0.48,1,284.19,0.02
v1,187.38,0.3,1,284.19,0.02
