size,sample,start,hmm_scan,hmm_scan_save,hmm_align,hmm_align_save,distance_calc,cc_gen,cc_gen_save,total
-1,output_v2_Amycolatopsis_greedy_1,0.0,62.374,5.825,35.482,0.171,102.339,2.87,1.554,292.208
-1,output_v2_Amycolatopsis_simple_1,0.0,63.675,5.971,35.276,0.192,91.36,2.626,1.467,282.692
-1,output_v2_Amycolatopsis_protocluster_1,0.0,60.528,5.841,35.561,0.181,85.463,2.664,1.493,278.258
-1,output_v2_Amycolatopsis_proto_core_1,0.0,63.64,6.033,35.216,0.161,81.863,2.645,1.486,273.198
-1,output_v2_Amycolatopsis_legacy_1,0.0,62.956,5.963,35.52,0.171,89.272,2.881,1.879,289.726
